Rank,Team,strength,Hi,Low,Last
1,Baylor (25-5),11.8,1,293,1
2,Tennessee (22-7),11.6,1,296,2
3,Villanova (22-7),11.3,1,233,4
4,Kentucky (24-6),11.3,2,89,5
5,Kansas (24-6),11.3,3,45,3
6,Michigan (16-13),11.2,2,113,7
7,Purdue (24-6),11.1,3,201,8
8,Illinois (21-8),11,4,210,6
9,Texas Tech (23-7),11,4,341,9
10,Alabama (19-11),10.9,2,115,10
11,Michigan St (19-11),10.8,2,40,12
12,Wisconsin (24-5),10.6,5,333,11
13,Ohio State (19-9),10.6,3,123,13
14,Texas (21-9),10.3,1,223,14
15,Oklahoma St (14-15),10.2,11,215,16
16,LSU (20-10),10.1,3,257,18
17,Gonzaga (24-3),10,1,187,17
18,Auburn (26-4),10,7,230,19
19,Arizona (27-3),10,3,289,15
20,Oklahoma (16-14),9.9,15,317,20
21,UCLA (22-6),9.9,3,205,21
22,W Virginia (14-16),9.6,21,199,22
23,Kansas St (14-15),9.6,23,351,23
24,Iowa (22-8),9.5,15,286,28
25,Duke (26-4),9.4,6,57,24
26,Marquette (18-11),9.3,11,282,25
27,Connecticut (21-8),9.3,9,287,26
28,Penn State (12-15),9.1,21,237,33
29,Xavier (17-12),9.1,16,200,29
30,Seton Hall (19-9),9.1,4,288,27
31,TX Christian (19-10),9,31,309,35
32,Maryland (15-15),9,22,219,30
33,Arizona St (13-16),8.8,24,226,31
34,Rutgers (17-12),8.7,32,293,32
35,Northwestern (13-15),8.6,29,339,34
36,Indiana (18-11),8.5,24,301,36
37,Iowa State (20-10),8.4,27,313,37
38,Minnesota (13-15),8.3,35,227,38
39,Providence (24-4),8.1,26,253,41
40,Arkansas (24-6),8.1,16,205,40
41,Florida (19-11),8.1,10,211,39
42,N Carolina (22-8),7.8,10,259,42
43,Miss State (17-13),7.7,36,295,43
44,Creighton (20-9),7.6,39,321,44
45,Syracuse (15-15),7.5,14,316,46
46,Oregon (18-12),7.5,14,172,45
47,St Johns (16-13),7.4,33,310,48
48,Vanderbilt (14-15),7.4,45,338,47
49,Florida St (16-13),7.4,11,237,50
50,VA Tech (19-11),7.4,12,273,49
51,Notre Dame (21-9),7.1,34,331,51
52,Virginia (17-12),7.1,34,196,53
53,St Marys (24-6),7.1,33,238,54
54,Houston (26-4),7,8,169,52
55,Stanford (15-14),6.9,38,207,66
56,Butler (13-17),6.9,54,314,56
57,Miami (FL) (21-9),6.9,45,244,57
58,Mississippi (13-17),6.7,56,323,59
59,Missouri (10-20),6.7,58,320,58
60,Memphis (18-9),6.7,11,275,55
61,Nebraska (9-21),6.7,61,288,61
62,Louisville (12-17),6.7,19,238,60
63,Clemson (15-15),6.6,45,270,63
64,Texas A&M (19-11),6.6,64,298,65
65,S Carolina (18-11),6.6,56,287,64
66,USC (25-5),6.6,19,251,62
67,DePaul (15-14),6.5,50,333,67
68,Wake Forest (23-8),6.4,53,349,68
69,Utah (11-18),6,56,273,69
70,Colorado (19-10),5.9,55,269,70
71,San Diego St (20-7),5.8,20,171,71
72,Oregon St (3-26),5.8,47,175,78
73,Wichita St (14-12),5.7,23,163,73
74,Washington (15-14),5.7,74,326,77
75,San Francisco (23-8),5.7,53,247,76
76,Georgetown (6-23),5.6,74,343,74
77,NC State (11-19),5.6,52,258,75
78,Wash State (17-13),5.6,61,278,72
79,BYU (21-9),5.4,21,170,79
80,California (12-18),5.1,50,261,82
81,VCU (21-7),5.1,16,177,81
