Rank,Team,strength,Hi,Low,Last
1,Tennessee (23-7),11.7,1,296,1
2,Baylor (26-5),11.6,1,293,2
3,Michigan (17-13),11.5,2,113,3
4,Kentucky (25-6),11.5,2,89,4
5,Kansas (25-6),11.3,3,45,5
6,Villanova (23-7),11.3,1,233,6
7,Alabama (19-12),11.2,2,115,7
8,Illinois (22-8),11.2,4,210,8
9,Texas Tech (23-8),11.1,4,341,9
10,Purdue (25-6),11.1,3,201,10
11,Texas (21-10),10.7,1,223,11
12,Michigan St (20-11),10.7,2,40,12
13,Ohio State (19-10),10.5,3,123,13
14,Gonzaga (26-3),10.3,1,187,16
15,Oklahoma St (15-15),10.3,11,215,14
16,Wisconsin (24-6),10.3,5,333,15
17,LSU (21-10),10,3,257,17
18,Oklahoma (17-14),10,15,317,18
19,Iowa (22-9),10,15,286,19
20,UCLA (23-6),9.9,3,205,20
21,Arizona (28-3),9.8,3,289,21
22,Auburn (27-4),9.8,7,230,22
23,W Virginia (15-16),9.6,21,199,23
24,Kansas St (14-16),9.5,23,351,24
25,Duke (26-5),9.3,6,57,25
26,Penn State (12-16),9.3,21,237,26
27,Marquette (19-11),9.3,11,282,27
28,Seton Hall (20-9),9.2,4,288,28
29,Maryland (15-16),9.2,22,219,29
30,Connecticut (22-8),9.2,9,287,30
31,TX Christian (19-11),9.1,30,309,31
32,Indiana (18-12),9,24,301,32
33,Xavier (18-12),8.9,16,200,33
34,Iowa State (20-11),8.8,27,313,34
35,Rutgers (18-12),8.6,32,293,35
36,Arkansas (24-7),8.6,16,205,36
37,Arizona St (14-16),8.6,24,226,37
38,Northwestern (14-15),8.4,29,339,38
39,N Carolina (23-8),8.4,10,259,39
40,Florida (19-12),8.4,10,211,40
41,Minnesota (13-16),8.3,35,227,41
42,Providence (24-4),8.2,26,253,42
43,Miss State (17-14),7.8,36,295,43
44,Creighton (20-10),7.7,39,321,44
45,St Marys (25-7),7.6,33,238,55
46,St Johns (16-14),7.6,33,310,45
47,VA Tech (19-12),7.6,12,273,46
48,Oregon (18-13),7.5,14,172,47
49,Vanderbilt (15-15),7.5,45,338,48
50,Syracuse (15-16),7.4,14,316,49
51,Houston (26-5),7.4,8,169,50
52,Virginia (18-12),7.2,34,196,51
53,Florida St (17-13),7.2,11,237,52
54,Memphis (19-9),7.2,11,275,53
55,USC (25-6),7.1,19,251,54
56,Stanford (15-15),7.1,38,207,56
57,Miami (FL) (22-9),7,45,244,57
58,Nebraska (10-21),7,58,288,58
59,S Carolina (18-12),7,56,287,59
60,Butler (13-18),7,54,314,60
61,Notre Dame (22-9),7,34,331,61
62,DePaul (15-15),6.9,50,333,62
63,Clemson (17-15),6.7,45,270,63
64,Mississippi (13-18),6.6,56,323,64
65,Texas A&M (20-11),6.6,64,298,66
66,Louisville (13-18),6.5,19,238,65
67,San Francisco (24-9),6.5,53,247,67
68,Wake Forest (23-8),6.4,53,349,68
69,Missouri (11-20),6.4,58,320,69
70,Colorado (20-10),6.1,55,269,70
71,Utah (11-19),5.9,56,273,71
72,NC State (11-21),5.9,52,258,75
73,Georgetown (6-24),5.9,72,343,72
74,Oregon St (3-27),5.8,47,175,73
75,San Diego St (21-7),5.8,20,171,74
76,Wash State (18-13),5.8,61,278,76
77,California (12-19),5.5,50,261,77
78,BYU (22-10),5.5,21,170,78
79,Wichita St (15-12),5.4,23,163,79
80,Washington (16-14),5.4,74,326,80
81,VCU (21-8),5.3,16,177,81
82,Pittsburgh (11-21),5,74,217,82
83,S Methodist (22-7),5,38,267,84
84,Boise State (24-7),5,14,188,83
85,GA Tech (12-20),4.9,72,262,85
86,Central FL (17-11),4.8,45,243,86
87,Utah State (17-14),4.8,28,189,87
88,Georgia (6-25),4.8,67,241,88
89,Loyola-Chi (25-7),4.7,32,299,89
90,Tulane (13-14),4.6,87,305,90
91,Boston Col (12-19),4.5,87,286,91
92,St Bonavent (20-8),4.5,29,295,92
93,Nevada (12-17),4.4,33,212,93
94,Colorado St (24-4),4.4,65,305,94
95,Richmond (19-12),4.2,30,268,95
96,Saint Louis (21-10),4.2,61,348,96
97,Cincinnati (17-14),3.9,52,301,97
98,UNLV (18-13),3.9,61,231,98
99,Dayton (22-9),3.9,77,289,99
100,Santa Clara (21-11),3.8,85,231,100
101,Temple (17-11),3.8,57,322,101
102,Wyoming (24-7),3.5,79,329,102
103,Fresno St (18-12),3.2,99,357,103
104,N Iowa (19-11),3.1,62,200,104
105,Davidson (25-5),2.9,37,208,105
106,Tulsa (10-19),2.9,92,318,106
107,Geo Mason (14-15),2.7,72,248,107
108,Drake (24-10),2.1,44,340,108
109,North Texas (23-5),2.1,73,352,109
110,Bradley (17-14),2,55,261,110
111,Missouri St (23-10),1.9,87,338,111
112,St Josephs (11-18),1.9,109,340,113
113,Loyola Mymt (11-18),1.9,85,255,112
114,S Florida (8-22),1.7,111,328,114
115,Rhode Island (14-15),1.5,81,182,115
116,U Mass (14-16),1.4,60,243,116
117,UAB (24-7),1.4,47,274,117
118,New Mexico (13-18),1.4,92,293,118
119,E Carolina (15-14),1.2,117,336,119
120,S Illinois (16-15),1,89,245,120
121,Furman (22-12),0.8,33,292,121
122,Duquesne (6-23),0.7,101,248,122
123,U Penn (12-15),0.7,11,207,123
124,Belmont (25-7),0.6,27,132,124
125,Toledo (25-6),0.5,79,189,125
126,W Kentucky (19-12),0.5,44,290,126
127,Hofstra (21-11),0.5,4,175,127
128,LA Tech (21-9),0.4,2,247,128
129,Chattanooga (27-7),0.4,60,192,129
130,Iona (25-6),0.4,49,202,130
131,Geo Wshgtn (12-17),0.3,123,266,131
132,Old Dominion (13-18),0.1,132,336,132
133,Towson (25-8),0,111,256,133
134,Charlotte (17-13),0,111,275,134
135,Buffalo (19-10),-0.1,1,147,135
136,Col Charlestn (17-15),-0.1,113,326,136
137,Pepperdine (7-25),-0.1,92,212,139
138,Monmouth (19-12),-0.1,59,197,137
139,N Mex State (24-6),-0.1,40,159,138
140,La Salle (10-18),-0.1,137,319,140
141,UC Irvine (15-9),-0.1,42,141,141
142,San Diego (15-16),-0.2,87,303,142
143,Murray St (30-2),-0.2,88,327,143
144,Wofford (19-13),-0.4,140,317,144
145,S Dakota St (30-4),-0.4,47,193,146
146,Valparaiso (14-18),-0.4,108,240,145
147,Middle Tenn (22-9),-0.4,145,354,147
148,Fordham (15-15),-0.5,139,348,148
149,San Jose St (8-22),-0.5,110,349,149
150,E Tenn St (15-17),-0.5,26,163,150
151,Illinois St (13-20),-0.6,151,306,151
152,Indiana St (11-20),-0.6,89,232,153
153,Drexel (15-14),-0.6,134,350,154
154,Northeastrn (9-22),-0.6,17,159,155
155,Yale (17-11),-0.7,63,301,157
156,Marshall (12-20),-0.7,102,314,156
157,Air Force (11-17),-0.8,113,338,158
158,Utah Val St (20-11),-0.8,44,265,152
159,Lg Beach St (18-11),-0.9,95,304,160
160,Elon (10-22),-0.9,21,301,159
161,App State (19-14),-0.9,83,216,161
162,Dartmouth (9-16),-1,55,274,167
163,TX-Arlington (11-18),-1,7,226,162
164,Kent State (21-9),-1,10,208,163
165,TX El Paso (18-12),-1,164,341,164
166,Mercer (16-17),-1.1,8,223,165
167,Ohio (23-8),-1.1,25,167,166
168,St Peters (16-11),-1.1,7,229,168
169,Delaware (22-12),-1.2,53,257,169
170,Vermont (26-5),-1.2,22,170,170
171,NC-Grnsboro (17-14),-1.3,130,289,171
172,Portland (18-14),-1.3,47,335,172
173,James Mad (15-14),-1.3,139,329,173
174,Evansville (6-24),-1.4,44,266,174
175,Brown (13-16),-1.4,144,340,176
176,Morehead St (23-11),-1.5,5,223,175
177,Oakland (20-12),-1.5,2,238,177
178,Fla Atlantic (18-13),-1.6,133,337,178
179,Georgia St (18-10),-1.6,91,295,179
180,Sam Hous St (18-13),-1.6,108,330,180
181,Grd Canyon (22-7),-1.6,138,325,181
182,VA Military (16-15),-1.8,177,353,182
183,Ste F Austin (22-8),-1.9,156,348,183
184,UC Riverside (16-11),-2,16,199,184
185,LA Lafayette (16-15),-2,158,345,185
186,Niagara (14-15),-2,1,244,186
187,Detroit (14-15),-2,4,230,187
188,Central Mich (7-22),-2.1,54,269,189
189,Pacific (8-22),-2.1,124,344,190
190,Canisius (11-21),-2.1,28,260,188
191,N Florida (11-20),-2.1,12,293,191
192,Princeton (22-5),-2.1,85,304,193
193,Bellarmine (20-13),-2.2,1,226,192
194,N Illinois (9-21),-2.2,33,335,194
195,Siena (15-13),-2.2,11,258,195
196,W Carolina (11-21),-2.3,110,320,196
197,Colgate (22-11),-2.3,41,197,197
198,Rice (15-15),-2.4,79,272,198
199,Samford (21-11),-2.4,199,357,199
200,NC-Wilmgton (23-9),-2.5,133,340,202
201,Cornell (15-10),-2.5,177,289,200
202,S Alabama (19-11),-2.5,45,339,201
203,Oral Roberts (19-12),-2.6,35,332,204
204,Tarleton State (14-17),-2.7,13,220,205
205,Liberty (22-11),-2.7,62,349,206
206,S Utah (20-10),-2.7,122,306,207
207,CS Fullerton (18-10),-2.7,95,247,209
208,Marist (14-16),-2.7,143,265,203
209,Coastal Car (16-13),-2.7,159,358,208
210,N Dakota St (23-10),-2.7,122,307,222
211,Texas State (21-7),-2.7,78,275,210
212,Akron (21-9),-2.8,9,247,212
213,N Colorado (18-14),-2.8,116,260,211
214,Jksnville St (21-10),-2.8,30,214,213
215,GA Southern (13-16),-2.9,175,310,214
216,Weber State (20-11),-2.9,111,348,215
217,Hawaii (16-10),-3,148,335,217
218,Troy (20-11),-3,198,355,216
219,Fairfield (15-17),-3,23,252,218
220,Wright State (21-13),-3,70,298,224
221,Wm & Mary (5-27),-3.1,82,317,221
222,Winthrop (23-9),-3.1,96,331,220
223,Rider (13-18),-3.1,102,318,219
224,Abl Christian (20-9),-3.1,20,244,223
225,Navy (21-10),-3.2,7,228,226
226,UCSB (16-10),-3.2,52,346,228
227,E Michigan (10-21),-3.2,32,323,227
228,E Washingtn (17-14),-3.2,41,245,229
229,Kennesaw St (13-18),-3.3,56,294,231
230,S Mississippi (7-25),-3.3,194,327,225
231,Arkansas St (18-11),-3.3,177,350,233
232,Seattle (23-8),-3.3,128,337,234
233,Citadel (13-18),-3.3,100,345,232
234,Montana St (24-7),-3.4,36,268,236
235,CS Bakersfld (8-18),-3.4,1,331,230
236,Manhattan (15-15),-3.4,233,352,235
237,Cal Poly (7-21),-3.5,230,349,237
238,Ball State (14-16),-3.5,131,265,238
239,Miami (OH) (14-17),-3.5,46,293,239
240,Quinnipiac (13-16),-3.5,19,342,243
241,Albany (13-18),-3.6,117,242,241
242,Florida Intl (15-17),-3.6,94,335,240
243,Bowling Grn (13-18),-3.7,132,301,242
244,Stony Brook (18-13),-3.7,4,245,245
